|                         Tasks                         |Version|Filter|n-shot|        Metric         |   | Value |   |Stderr|
|-------------------------------------------------------|------:|------|-----:|-----------------------|---|------:|---|------|
|arc_challenge                                          |      1|none  |     0|acc                    |↑  | 0.3558|±  |0.0140|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.3985|±  |0.0143|
|arc_easy                                               |      1|none  |     0|acc                    |↑  | 0.6923|±  |0.0095|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.6503|±  |0.0098|
|boolq                                                  |      2|none  |     0|acc                    |↑  | 0.6963|±  |0.0080|
|ceval-valid                                            |      2|none  |      |acc                    |↑  | 0.5178|±  |0.0133|
|                                                       |       |none  |      |acc_norm               |↑  | 0.5178|±  |0.0133|
| - ceval-valid_accountant                              |      2|none  |     0|acc                    |↑  | 0.3878|±  |0.0703|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.3878|±  |0.0703|
| - ceval-valid_advanced_mathematics                    |      2|none  |     0|acc                    |↑  | 0.4737|±  |0.1177|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.4737|±  |0.1177|
| - ceval-valid_art_studies                             |      2|none  |     0|acc                    |↑  | 0.5152|±  |0.0883|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.5152|±  |0.0883|
| - ceval-valid_basic_medicine                          |      2|none  |     0|acc                    |↑  | 0.7368|±  |0.1038|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.7368|±  |0.1038|
| - ceval-valid_business_administration                 |      2|none  |     0|acc                    |↑  | 0.4242|±  |0.0874|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.4242|±  |0.0874|
| - ceval-valid_chinese_language_and_literature         |      2|none  |     0|acc                    |↑  | 0.3913|±  |0.1041|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.3913|±  |0.1041|
| - ceval-valid_civil_servant                           |      2|none  |     0|acc                    |↑  | 0.3617|±  |0.0708|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.3617|±  |0.0708|
| - ceval-valid_clinical_medicine                       |      2|none  |     0|acc                    |↑  | 0.5000|±  |0.1091|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.5000|±  |0.1091|
| - ceval-valid_college_chemistry                       |      2|none  |     0|acc                    |↑  | 0.5417|±  |0.1039|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.5417|±  |0.1039|
| - ceval-valid_college_economics                       |      2|none  |     0|acc                    |↑  | 0.5455|±  |0.0678|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.5455|±  |0.0678|
| - ceval-valid_college_physics                         |      2|none  |     0|acc                    |↑  | 0.5263|±  |0.1177|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.5263|±  |0.1177|
| - ceval-valid_college_programming                     |      2|none  |     0|acc                    |↑  | 0.5405|±  |0.0831|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.5405|±  |0.0831|
| - ceval-valid_computer_architecture                   |      2|none  |     0|acc                    |↑  | 0.4762|±  |0.1117|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.4762|±  |0.1117|
| - ceval-valid_computer_network                        |      2|none  |     0|acc                    |↑  | 0.3158|±  |0.1096|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.3158|±  |0.1096|
| - ceval-valid_discrete_mathematics                    |      2|none  |     0|acc                    |↑  | 0.2500|±  |0.1118|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.2500|±  |0.1118|
| - ceval-valid_education_science                       |      2|none  |     0|acc                    |↑  | 0.7241|±  |0.0845|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.7241|±  |0.0845|
| - ceval-valid_electrical_engineer                     |      2|none  |     0|acc                    |↑  | 0.3784|±  |0.0808|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.3784|±  |0.0808|
| - ceval-valid_environmental_impact_assessment_engineer|      2|none  |     0|acc                    |↑  | 0.5806|±  |0.0901|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.5806|±  |0.0901|
| - ceval-valid_fire_engineer                           |      2|none  |     0|acc                    |↑  | 0.5161|±  |0.0912|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.5161|±  |0.0912|
| - ceval-valid_high_school_biology                     |      2|none  |     0|acc                    |↑  | 0.5789|±  |0.1164|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.5789|±  |0.1164|
| - ceval-valid_high_school_chemistry                   |      2|none  |     0|acc                    |↑  | 0.5789|±  |0.1164|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.5789|±  |0.1164|
| - ceval-valid_high_school_chinese                     |      2|none  |     0|acc                    |↑  | 0.3684|±  |0.1137|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.3684|±  |0.1137|
| - ceval-valid_high_school_geography                   |      2|none  |     0|acc                    |↑  | 0.4737|±  |0.1177|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.4737|±  |0.1177|
| - ceval-valid_high_school_history                     |      2|none  |     0|acc                    |↑  | 0.7000|±  |0.1051|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.7000|±  |0.1051|
| - ceval-valid_high_school_mathematics                 |      2|none  |     0|acc                    |↑  | 0.0556|±  |0.0556|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.0556|±  |0.0556|
| - ceval-valid_high_school_physics                     |      2|none  |     0|acc                    |↑  | 0.5263|±  |0.1177|
|                                                       |       |none  |     0|acc_norm               |↑  | 0.5263|±  |0.1177|
